,Age_group,Sex,Age
208,0–17,Male,11
209,0–17,Female,15
210,18–64,Male,56
211,0–17,Female,15
212,0–17,Female,13
213,18–64,Female,26
214,18–64,Male,55
215,18–64,Male,31
216,0–17,Male,5
217,0–17,Male,17
218,65+,Male,79
219,0–17,Female,8
220,0–17,Female,2
221,0–17,Female,1
222,18–64,Male,39
223,65+,Female,86
224,0–17,Female,2
225,65+,Male,73
226,0–17,Male,4
227,0–17,Female,12
228,18–64,Male,49
229,0–17,Male,17
230,0–17,Male,10
231,0–17,Female,4
232,65+,Female,82
233,0–17,Female,17
234,65+,Male,88
235,18–64,Female,45
236,0–17,Female,15
237,18–64,Female,27
238,0–17,Male,12
239,0–17,Male,1
240,18–64,Female,50
241,18–64,Female,39
242,0–17,Female,17
243,0–17,Female,7
244,18–64,Male,25
245,18–64,Female,59
246,18–64,Male,56
247,0–17,Female,2
248,0–17,Female,17
249,0–17,Female,9
250,18–64,Male,61
251,18–64,Female,48
252,0–17,Female,5
253,0–17,Female,8
254,0–17,Female,11
255,18–64,Male,31
256,18–64,Female,39
257,0–17,Male,2
258,0–17,Male,17
259,0–17,Female,15
260,0–17,Male,7
261,18–64,Female,55
262,0–17,Female,4
263,0–17,Male,13
264,65+,Male,96
265,0–17,Male,14
266,0–17,Female,4
267,0–17,Male,7
268,0–17,Male,17
269,0–17,Male,10
270,0–17,Male,0
271,0–17,Male,6
272,0–17,Male,3
273,0–17,Female,7
274,18–64,Male,59
275,0–17,Female,11
276,0–17,Female,17
277,0–17,Female,10
278,18–64,Female,40
279,18–64,Female,41
280,0–17,Male,8
281,0–17,Male,6
282,0–17,Female,11
283,0–17,Female,3
284,0–17,Female,9
285,0–17,Female,5
286,0–17,Male,16
287,0–17,Female,10
288,0–17,Female,2
289,0–17,Male,7
290,18–64,Female,35
291,0–17,Male,1
292,65+,Male,82
293,0–17,Male,9
294,18–64,Female,54
295,65+,Male,74
296,65+,Female,80
297,18–64,Female,28
298,18–64,Female,51
299,18–64,Male,58
300,18–64,Female,45
301,0–17,Male,14
302,0–17,Female,5
303,0–17,Female,12
304,18–64,Female,60
305,0–17,Female,14
306,0–17,Female,13
307,18–64,Male,34
308,0–17,Female,6
309,0–17,Male,15
310,0–17,Female,0
311,0–17,Female,7
312,0–17,Female,6
313,0–17,Female,11
314,0–17,Female,17
315,0–17,Female,13
316,0–17,Female,13
317,18–64,Male,18
318,0–17,Female,17
319,65+,Female,77
320,65+,Male,66
321,0–17,Female,17
322,0–17,Female,16
323,0–17,Female,14
324,18–64,Female,37
325,18–64,Male,64
326,18–64,Female,31
327,0–17,Female,9
328,18–64,Male,27
329,0–17,Female,14
330,18–64,Male,28
331,0–17,Female,9
332,18–64,Male,55
333,18–64,Female,21
334,0–17,Male,0
335,18–64,Male,56
336,0–17,Male,1
337,18–64,Male,29
338,0–17,Male,4
339,65+,Male,85
340,0–17,Male,13
341,65+,Female,99
342,18–64,Female,58
343,0–17,Female,5
344,18–64,Female,57
345,18–64,Female,23
346,65+,Female,79
347,0–17,Female,16
348,0–17,Female,17
349,0–17,Male,9
350,18–64,Male,61
351,0–17,Male,7
352,0–17,Female,6
353,0–17,Female,5
354,0–17,Female,12
355,0–17,Female,15
356,18–64,Male,61
357,18–64,Female,33
358,0–17,Female,15
359,0–17,Female,11
360,65+,Male,86
361,0–17,Male,8
362,0–17,Male,8
363,0–17,Male,5
364,18–64,Male,31
365,0–17,Female,10
366,18–64,Female,61
367,18–64,Male,40
368,0–17,Female,6
369,18–64,Female,38
370,18–64,Male,19
371,0–17,Female,11
372,0–17,Female,17
373,0–17,Female,1
374,0–17,Male,3
375,0–17,Male,15
376,65+,Male,84
377,0–17,Female,9
378,0–17,Female,1
379,18–64,Male,61
380,0–17,Female,1
381,65+,Male,94
382,18–64,Female,19
383,0–17,Female,16
384,0–17,Female,1
385,65+,Female,65
386,18–64,Male,18
387,65+,Female,89
388,0–17,Male,2
389,18–64,Female,30
390,18–64,Male,36
391,0–17,Male,3
392,0–17,Female,13
393,18–64,Male,26
394,0–17,Male,5
395,0–17,Female,7
396,18–64,Female,42
397,0–17,Female,14
398,0–17,Female,9
399,0–17,Female,16
400,0–17,Female,13
401,65+,Male,94
402,18–64,Female,43
403,0–17,Male,6
404,65+,Female,79
405,18–64,Female,30
406,0–17,Female,13
407,18–64,Female,37
408,0–17,Male,17
409,65+,Female,76
410,18–64,Male,61
411,18–64,Male,39
412,0–17,Male,4
413,18–64,Female,26
414,0–17,Male,16
415,0–17,Female,16
416,0–17,Male,13
417,18–64,Female,18
418,0–17,Female,3
419,65+,Male,89
420,18–64,Male,29
421,0–17,Male,9
422,0–17,Male,14
423,0–17,Male,8
424,18–64,Male,29
425,18–64,Female,54
426,0–17,Female,15
427,18–64,Female,63
428,0–17,Male,1
429,18–64,Female,27
430,65+,Male,87
431,18–64,Female,22
432,18–64,Male,31
433,18–64,Female,62
434,0–17,Male,14
435,0–17,Female,6
436,0–17,Male,1
437,0–17,Female,10
438,18–64,Male,64
439,18–64,Male,38
440,18–64,Female,42
441,0–17,Male,0
442,18–64,Male,50
443,0–17,Female,1
444,0–17,Female,15
445,18–64,Male,55
446,65+,Female,86
447,18–64,Male,42
448,0–17,Male,13
449,18–64,Male,35
450,0–17,Male,2
451,18–64,Female,46
452,18–64,Male,25
453,0–17,Male,13
454,0–17,Male,0
455,0–17,Male,10
456,65+,Female,77
457,0–17,Female,9
458,18–64,Female,51
459,18–64,Male,42
460,0–17,Female,10
461,0–17,Male,17
462,65+,Female,85
463,0–17,Female,0
464,0–17,Female,1
465,18–64,Male,55
466,18–64,Male,46
467,65+,Male,92
468,0–17,Male,10
469,0–17,Female,0
470,0–17,Female,8
471,0–17,Female,16
472,0–17,Male,8
473,0–17,Male,0
474,0–17,Female,10
475,0–17,Female,6
476,0–17,Female,14
477,18–64,Male,52
478,18–64,Male,62
479,0–17,Female,15
480,0–17,Female,12
481,0–17,Female,0
482,0–17,Female,5
483,0–17,Female,15
484,0–17,Male,4
485,0–17,Female,4
486,0–17,Female,4
487,0–17,Female,13
488,0–17,Female,13
489,0–17,Female,2
490,18–64,Male,40
491,18–64,Male,32
492,18–64,Male,25
493,0–17,Female,11
494,18–64,Female,52
495,0–17,Female,12
496,0–17,Female,12
497,18–64,Male,31
498,0–17,Female,17
499,0–17,Female,12
500,18–64,Male,46
501,18–64,Female,32
502,65+,Male,79
503,0–17,Female,2
504,0–17,Female,11
505,18–64,Female,47
506,0–17,Female,17
507,18–64,Female,49
508,0–17,Female,11
509,0–17,Male,3
510,0–17,Male,17
511,18–64,Female,55
512,0–17,Male,6
513,0–17,Female,16
514,0–17,Female,7
515,0–17,Male,15
516,0–17,Female,0
517,18–64,Male,35
518,0–17,Male,4
519,18–64,Female,59
520,18–64,Female,24
521,0–17,Female,10
522,0–17,Male,8
523,18–64,Male,59
524,0–17,Male,1
525,0–17,Female,17
526,65+,Female,95
527,65+,Female,76
528,18–64,Female,42
529,0–17,Female,9
530,18–64,Male,27
531,18–64,Male,25
532,0–17,Female,17
533,18–64,Male,45
534,0–17,Male,2
535,0–17,Female,6
536,0–17,Female,0
537,0–17,Male,4
538,0–17,Male,7
539,18–64,Female,19
540,65+,Female,94
541,0–17,Female,14
542,18–64,Female,35
543,65+,Female,92
544,0–17,Male,12
545,0–17,Female,10
546,0–17,Female,6
547,0–17,Male,0
548,18–64,Male,28
549,0–17,Female,10
550,0–17,Female,11
551,0–17,Male,13
552,0–17,Male,11
553,65+,Male,92
554,0–17,Male,11
555,0–17,Female,12
556,0–17,Female,16
557,0–17,Female,10
558,0–17,Female,1
559,0–17,Female,8
560,0–17,Male,1
561,0–17,Female,7
562,18–64,Female,31
563,18–64,Male,49
564,18–64,Male,22
565,18–64,Male,62
566,18–64,Male,35
567,0–17,Male,6
568,0–17,Female,16
569,0–17,Female,12
570,0–17,Female,0
571,18–64,Female,58
572,0–17,Female,4
573,18–64,Male,53
574,18–64,Female,60
575,0–17,Female,9
576,65+,Male,93
577,0–17,Female,13
578,18–64,Female,61
579,0–17,Female,11
580,0–17,Female,14
581,0–17,Female,11
582,0–17,Male,4
583,0–17,Female,2
584,65+,Male,74
585,18–64,Male,48
586,0–17,Male,17
587,0–17,Female,1
588,0–17,Female,15
589,0–17,Male,7
590,65+,Male,74
591,0–17,Female,13
592,0–17,Female,17
593,0–17,Female,15
594,0–17,Male,7
595,0–17,Female,7
596,18–64,Male,24
597,18–64,Male,58
598,65+,Female,87
599,18–64,Male,20
600,0–17,Female,12
601,18–64,Male,41
602,65+,Male,80
603,18–64,Male,20
604,65+,Female,70
605,18–64,Female,23
606,18–64,Female,32
607,0–17,Male,13
608,18–64,Male,38
609,0–17,Female,4
610,0–17,Female,13
611,18–64,Male,46
612,65+,Female,72
613,65+,Female,90
614,0–17,Female,1
615,18–64,Male,55
616,18–64,Male,49
617,0–17,Female,6
618,0–17,Male,7
619,0–17,Male,3
620,18–64,Female,29
621,0–17,Female,16
622,65+,Female,68
623,0–17,Female,4
624,65+,Female,96
625,0–17,Female,2
626,18–64,Female,57
627,0–17,Male,13
628,0–17,Female,16
629,18–64,Female,23
630,65+,Male,75
631,18–64,Female,28
632,0–17,Male,0
633,0–17,Female,1
634,0–17,Male,2
635,0–17,Male,17
636,18–64,Male,18
637,18–64,Male,27
638,18–64,Female,35
639,18–64,Female,41
640,18–64,Male,31
641,18–64,Female,62
642,0–17,Male,1
643,0–17,Female,16
644,18–64,Male,39
645,18–64,Female,24
646,0–17,Male,14
647,0–17,Female,4
648,18–64,Male,37
649,0–17,Male,7
650,0–17,Female,12
651,18–64,Female,18
652,18–64,Male,54
653,0–17,Female,6
654,18–64,Female,41
655,0–17,Female,5
656,18–64,Female,24
657,0–17,Female,3
658,0–17,Female,5
659,0–17,Female,3
660,0–17,Female,15
661,18–64,Female,24
662,0–17,Male,4
663,0–17,Male,1
664,0–17,Female,17
665,18–64,Male,58
666,18–64,Female,47
667,65+,Female,88
668,0–17,Female,2
669,0–17,Female,2
670,0–17,Male,17
671,0–17,Female,16
672,65+,Female,72
673,18–64,Male,27
674,0–17,Female,14
675,0–17,Female,17
676,65+,Male,94
677,0–17,Female,14
678,0–17,Male,11
679,0–17,Female,9
680,0–17,Male,10
681,0–17,Female,8
682,0–17,Male,14
683,0–17,Female,2
684,18–64,Male,25
685,0–17,Female,5
686,0–17,Female,0
687,65+,Female,75
688,18–64,Male,35
689,0–17,Female,7
690,0–17,Female,0
691,18–64,Female,36
692,0–17,Female,11
693,0–17,Female,11
694,65+,Male,73
695,0–17,Female,5
696,18–64,Male,56
697,0–17,Female,13
698,18–64,Male,55
699,0–17,Female,0
700,0–17,Female,8
701,0–17,Female,13
702,0–17,Male,7
703,18–64,Female,58
704,0–17,Female,15
705,0–17,Female,11
706,18–64,Female,42
707,18–64,Female,35
708,0–17,Female,4
709,0–17,Female,11
710,65+,Female,91
711,18–64,Male,40
712,18–64,Female,48
713,65+,Male,89
714,18–64,Female,50
715,0–17,Male,10
716,0–17,Female,12
717,0–17,Male,17
718,18–64,Male,19
719,65+,Female,82
720,0–17,Female,3
721,0–17,Female,9
722,0–17,Male,16
723,65+,Female,95
724,0–17,Male,15
725,0–17,Male,11
726,0–17,Female,14
727,0–17,Male,4
728,0–17,Female,14
729,0–17,Female,5
730,0–17,Female,3
731,0–17,Male,4
732,0–17,Male,5
733,0–17,Female,11
734,0–17,Male,0
735,18–64,Male,47
736,0–17,Female,0
737,0–17,Female,13
738,0–17,Female,7
739,0–17,Female,17
740,0–17,Male,13
741,0–17,Male,12
742,18–64,Female,61
743,0–17,Male,15
744,0–17,Female,0
745,0–17,Female,3
746,0–17,Female,5
747,0–17,Female,8
748,18–64,Female,23
749,18–64,Female,19
750,0–17,Female,6
751,0–17,Female,3
752,0–17,Female,3
753,0–17,Female,3
754,18–64,Male,47
755,0–17,Female,0
756,0–17,Female,10
757,65+,Male,90
758,0–17,Male,12
759,0–17,Female,12
760,18–64,Male,23
761,0–17,Male,7
762,0–17,Male,10
763,0–17,Male,17
764,65+,Male,90
765,0–17,Male,6
766,0–17,Male,8
767,0–17,Male,4
768,0–17,Male,17
769,18–64,Male,64
770,0–17,Female,15
771,0–17,Female,0
772,0–17,Female,12
773,18–64,Female,47
774,0–17,Male,13
775,18–64,Female,33
776,18–64,Male,31
777,0–17,Male,17
778,18–64,Female,39
779,18–64,Female,43
780,0–17,Female,15
781,65+,Male,78
782,0–17,Female,14
783,18–64,Male,49
784,65+,Female,95
785,0–17,Female,14
786,18–64,Female,29
787,0–17,Female,9
788,18–64,Female,53
789,18–64,Male,38
790,0–17,Female,7
791,0–17,Female,13
792,0–17,Female,4
793,0–17,Male,7
794,0–17,Male,0
795,0–17,Female,7
796,0–17,Male,7
797,0–17,Male,16
798,18–64,Male,26
799,18–64,Male,47
800,18–64,Male,34
801,0–17,Female,9
802,18–64,Female,26
803,0–17,Female,9
804,0–17,Male,4
805,0–17,Male,11
806,18–64,Male,58
807,0–17,Male,1
808,0–17,Female,10
809,65+,Female,98
810,0–17,Male,1
811,0–17,Male,5
812,65+,Female,74
813,0–17,Female,9
814,0–17,Male,16
815,18–64,Female,29
816,18–64,Female,40
817,0–17,Female,11
818,18–64,Male,48
819,0–17,Female,15
820,0–17,Male,11
821,0–17,Female,6
822,0–17,Female,13
823,18–64,Male,54
824,18–64,Female,55
825,0–17,Male,16
826,0–17,Female,11
827,0–17,Female,2
828,18–64,Female,28
829,0–17,Female,11
830,18–64,Male,25
831,0–17,Female,16
832,0–17,Female,17
833,18–64,Male,50
834,18–64,Male,57
835,0–17,Female,13
836,18–64,Male,25
837,65+,Female,88
838,0–17,Female,7
839,0–17,Female,8
840,0–17,Male,8
841,18–64,Female,29
842,0–17,Female,16
843,0–17,Female,7
844,0–17,Male,0
845,18–64,Female,45
846,0–17,Female,12
847,18–64,Male,61
848,0–17,Male,15
849,65+,Female,89
850,0–17,Male,16
851,0–17,Female,11
852,18–64,Female,29
853,65+,Male,74
854,0–17,Female,16
855,0–17,Female,15
856,18–64,Male,64
857,18–64,Female,33
858,0–17,Female,17
859,0–17,Female,17
860,18–64,Male,24
861,18–64,Male,29
862,18–64,Female,29
863,0–17,Female,11
864,0–17,Male,9
865,65+,Male,77
866,18–64,Female,48
867,18–64,Female,43
868,0–17,Male,14
869,0–17,Female,5
870,18–64,Male,22
871,0–17,Male,1
872,65+,Female,68
873,0–17,Female,4
874,18–64,Male,53
875,18–64,Female,58
876,0–17,Female,11
877,0–17,Female,6
878,18–64,Male,45
879,0–17,Female,10
880,0–17,Female,7
881,18–64,Male,35
882,65+,Male,97
883,0–17,Female,0
884,0–17,Female,16
885,0–17,Female,3
886,0–17,Female,0
887,0–17,Male,1
888,0–17,Male,3
889,18–64,Male,29
890,0–17,Female,10
891,65+,Female,85
892,0–17,Female,14
893,0–17,Male,13
894,18–64,Male,19
895,18–64,Female,46
896,0–17,Female,8
897,0–17,Female,0
898,0–17,Male,2
899,0–17,Female,2
900,0–17,Female,14
901,0–17,Female,7
902,0–17,Male,12
903,0–17,Female,5
904,65+,Female,93
905,18–64,Male,43
906,0–17,Female,0
907,0–17,Male,14
908,0–17,Female,8
909,0–17,Female,7
910,18–64,Male,60
911,18–64,Female,63
912,65+,Male,69
913,65+,Female,84
914,65+,Female,80
915,65+,Female,88
916,0–17,Male,16
917,0–17,Male,0
918,0–17,Female,5
919,0–17,Female,9
920,0–17,Male,13
921,18–64,Female,46
922,18–64,Male,57
923,0–17,Female,11
924,0–17,Male,13
925,0–17,Female,3
926,0–17,Male,2
927,18–64,Female,36
928,0–17,Female,5
929,18–64,Male,30
930,0–17,Female,8
931,0–17,Female,16
932,0–17,Female,7
933,18–64,Male,50
934,18–64,Female,64
935,0–17,Female,2
936,65+,Female,82
937,0–17,Male,7
938,18–64,Female,49
939,0–17,Male,9
940,0–17,Female,16
941,18–64,Female,48
942,0–17,Male,12
943,0–17,Female,12
944,0–17,Female,17
945,0–17,Female,10
946,18–64,Male,48
947,18–64,Female,59
948,18–64,Female,42
949,0–17,Female,9
950,0–17,Female,12
951,0–17,Female,0
952,0–17,Female,2
953,0–17,Male,2
954,65+,Male,88
955,18–64,Female,19
956,18–64,Female,62
957,0–17,Female,11
958,0–17,Female,9
959,0–17,Female,15
960,0–17,Female,5
961,0–17,Female,2
962,0–17,Male,16
963,0–17,Male,7
964,65+,Female,73
965,0–17,Female,15
966,65+,Female,83
967,0–17,Male,16
968,0–17,Female,12
969,0–17,Female,9
970,0–17,Female,14
971,0–17,Male,6
972,0–17,Male,12
973,65+,Male,86
974,0–17,Female,6
975,18–64,Male,48
976,0–17,Female,4
977,0–17,Female,17
978,0–17,Female,5
979,0–17,Male,15
980,65+,Female,77
981,18–64,Female,28
982,18–64,Male,37
983,0–17,Female,9
984,0–17,Male,1
985,65+,Male,99
986,0–17,Female,16
987,0–17,Male,6
988,0–17,Female,8
989,18–64,Female,20
990,18–64,Male,36
991,18–64,Male,55
992,18–64,Female,36
993,0–17,Female,11
994,65+,Male,99
995,0–17,Female,1
996,18–64,Male,42
997,0–17,Male,14
998,65+,Female,88
999,0–17,Female,14
