PAT_COUNTY,F,M
131,58.186741222657965,55.98993663561572
133,67.05268966745108,58.88097578853249
135,74.99799874492143,67.76999397839613
137,24.250361452699476,27.689248813196187
139,81.42569947271735,73.441841732767
141,80.84981901166483,74.94547280128698
143,73.30381328784759,58.91157639130602
145,60.2387803075696,57.7660170087855
147,73.47263041837127,71.7437891487532
149,58.79515136502205,63.16967529603241
151,27.948416181198976,27.286386045882814
153,55.78112590485909,34.36859737604635
155,,16.74453888423023
157,80.56254094457111,75.24665528323776
159,33.77203394831584,34.71320744744572
161,70.45974746299589,65.60506905545256
163,63.3881035140903,57.311169361632274
165,31.126653203885567,56.81048219746121
167,78.68296552870137,72.61132398992159
169,16.74453888423023,29.50679985642305
171,65.77553467300605,60.36907188153155
173,16.74453888423023,
175,61.39375228254265,53.911915107006514
177,53.50022982362832,60.62170778772498
179,69.92239386378967,65.0452335164596
181,83.05515191539033,72.03155079967499
183,78.47428555355786,67.6398474458791
185,66.90608189080149,68.64068404068138
187,78.20052894516016,70.15680268137794
189,66.29728918460816,64.39915536494756
191,32.85227257278677,42.563833159957255
193,70.34558649496681,61.586826715271336
195,16.74453888423023,31.337807680880903
197,36.06664301123729,16.74453888423023
199,74.68361162366634,60.235647408129175
201,81.16416617278007,74.34064563963108
203,75.20661655667026,66.63014431814184
205,,16.74453888423023
207,39.99183229775709,45.65852533709291
209,82.56375859293918,73.91995303004914
211,37.61935056318364,
213,76.94862496965845,68.63184767608472
215,78.22299095380917,71.7539676606202
217,77.78319978022571,63.377831829295616
219,58.22642810807618,66.48946530181021
221,79.74113420047388,69.17737844007743
223,71.0278081511085,64.53222942667628
225,70.37040263653091,50.082764968553725
227,71.83458070445673,68.852342441862
229,48.520660357226575,54.39563550849602
231,74.21164343902002,69.68615262422908
233,57.37569828833442,52.227240710400366
235,41.36313485793325,21.280870585883594
237,38.80874510586705,62.144438711258864
239,59.353730760251324,61.251289697610275
241,64.98660124889166,69.69161263943981
243,16.74453888423023,
245,79.59957547643384,73.19105084008065
247,55.37965232588466,45.32145151287321
249,75.98686614821924,62.91609828874483
251,81.38772643115371,74.14074909485055
253,69.45245724823073,62.022890398196395
255,62.66672597784544,41.41689800594621
257,79.16818554429253,69.57520390635592
259,70.54266616596061,67.07282810354853
263,48.185282284884615,52.420415275360256
265,74.49466410374663,67.53467592563209
271,23.482122150564955,28.39715305432072
273,67.23915666270388,57.492515313753515
275,,43.74882535834641
277,71.96282359853166,69.77895493129091
279,58.196654936103506,46.129355048821374
281,58.37119359148277,64.48343911094811
283,45.75621312715459,40.11758928932314
285,51.80820767350882,57.72824161248875
287,59.93157881780722,66.72704219141647
289,57.93648352001619,50.271064332222615
291,76.33644915256728,76.47619679869221
293,65.35868518885627,63.65341706030665
295,26.740789671056408,41.36146432409432
297,54.18165993957158,61.300391660836226
299,60.65359749648989,49.38297571732924
303,79.99261452912769,74.5385864934124
305,38.925437332478154,44.32418196111777
307,42.88604840847066,45.114611439448026
309,80.83083763499792,70.43302531024437
311,16.74453888423023,
313,65.424983281023,57.0654011824652
315,65.58895133444554,58.529507724781446
317,46.10440410419243,36.676948560804554
319,,37.51704579137102
321,70.38293385548718,60.291040174203744
323,70.37710732847076,69.53858941697233
325,77.5111336368828,57.88736350623349
327,47.51562806126957,16.74453888423023
329,79.8926259048434,75.66764301523715
331,71.43430875587227,63.33891278523147
333,71.26058043108344,57.74266728379172
335,52.620918349928644,32.494075459772745
337,67.24364743381142,63.88668752949948
339,82.56048251879542,72.3789001297126
341,59.27386907662806,52.225801437938756
343,43.78431636578656,67.94294118431819
345,47.89640729253243,
347,75.35866885670889,67.84539117947394
349,75.31514161436745,68.14448047979947
351,62.514544926570345,48.982545396416754
353,67.05253902000008,52.207808822706795
355,79.14541095719409,71.51666723256999
357,33.686805470721126,40.27989456176557
359,30.383466708520523,16.74453888423023
361,77.15611529651586,70.70442832290902
363,72.87137226907215,67.01236158664862
365,70.70295765917886,65.96439304771768
367,77.97195895145295,72.05934779121306
369,29.682875258486085,52.862707091098635
371,56.87414692461896,51.431948278127294
373,73.07328287296424,63.530145462541384
375,76.01067535811295,69.57319095751545
377,52.316559173842414,52.91733693900795
379,63.16459201770981,61.56142171765542
381,74.40691564990136,72.43674764052766
383,39.66829816635185,28.63247204650391
385,16.74453888423023,32.665467575269226
387,59.92669214878325,44.464255780188346
389,50.683568765120924,37.62814276956013
391,57.388581227397985,51.506989149436066
395,68.69330178266033,61.003927458130434
397,80.78167487794887,71.34601375749361
399,60.146172257681975,63.7259465492374
401,72.31960346998396,64.15610024626449
403,56.60194797480009,46.23336239643192
405,70.4305202448936,61.6238021152796
407,80.7080656688852,62.46937964523249
409,76.28686218602616,64.98485172299473
411,40.354722534791875,49.11642060481567
413,32.665467575269226,26.976933773060153
415,16.74453888423023,36.48658581561598
417,43.407009237411344,58.84136376979705
419,68.06834624873763,59.95635236003702
421,52.53626600938857,16.74453888423022
423,80.91316497072663,73.12794872628577
425,,51.90922391294449
427,67.9437433201059,68.75028087593893
429,,38.323775581786954
431,25.302020248198566,32.62695928204121
433,40.02626894538932,
437,44.85935535106014,65.07652535099436
439,82.6075306339565,75.13345932064304
441,79.0803500665676,71.65781207888733
443,,28.720378999762907
445,52.38111044354588,58.80951786813993
447,63.62636604367137,16.74453888423023
449,53.993504183236084,63.91334459338941
451,75.05143800686491,73.67929057961652
453,80.72860487603141,74.60012471140499
455,61.99464264513082,61.49012046030992
457,64.187557624974,55.921729368087306
459,75.70777923656323,65.85170709909731
461,,40.95408307527648
463,63.223640244708754,56.61641334793488
465,64.86709229296812,72.38850933825229
467,75.8399506260411,70.72229170712704
469,75.99652724899812,68.56368120216187
471,75.64921362135966,60.86242389856361
473,62.92145901683457,40.272784445834276
475,58.48961747882087,53.60843766416199
477,68.31583565131403,63.36958505502772
479,74.9008082047984,71.96648047016197
481,74.73194634533724,63.816735859791315
483,35.491577335700505,16.74453888423023
485,77.73999161641312,72.32484550752712
487,68.80117132023217,58.63570782786777
489,71.19581076438864,61.16820639650371
491,80.28019591957482,72.2356840301348
493,73.11282663878328,65.42621372356605
495,42.47166140490105,39.489888722080245
497,79.07678629603004,65.23862289581902
499,73.8857915399643,70.07641271568781
501,38.47542481443874,47.151337744438315
503,64.52380102128262,53.25677824922812
505,62.89406639092137,39.78186388871846
507,44.32501758183376,51.014386549879134
