PAT_COUNTY,JS_similarity,JS_divergence,N_real,N_synth,TOTAL,PERCENTAGE
249.0,82.18957136433984,0.1781042863566016,119,523,642,0.0012246836710751463
367.0,80.71916656298781,0.19280833437012188,620,2959,3579,0.006827325325199298
99.0,78.94834050377855,0.21051659496221448,182,795,977,0.0018637320041128007
217.0,76.21945653264314,0.23780543467356863,165,735,900,0.0017168462678623546
347.0,80.05871281874737,0.19941287181252626,236,1033,1269,0.0024207532376859203
329.0,79.4836320232994,0.2051636797670059,391,1559,1950,0.0037198335803684352
407.0,81.02805100984644,0.18971948990153562,213,935,1148,0.002189932795006648
505.0,67.64440629205787,0.3235559370794213,47,185,232,0.0004425648157156292
225.0,76.9138771625934,0.2308612283740661,66,298,364,0.0006943689350021079
469.0,74.19402449609565,0.2580597550390435,434,1700,2134,0.004070833261798072
37.0,81.82216259250659,0.1817783740749341,314,1368,1682,0.0032085949139383117
105.0,57.36508349090177,0.42634916509098236,20,55,75,0.0001430705223218629
189.0,74.26007235884794,0.2573992764115207,88,389,477,0.000909928521967048
89.0,70.54384492258956,0.29456155077410445,50,250,300,0.0005722820892874516
497.0,81.58675071652837,0.18413249283471628,289,1157,1446,0.0027583996703655165
1.0,78.13611170890637,0.2186388829109364,182,739,921,0.0017569060141124763
187.0,82.85231658387183,0.17147683416128184,621,2764,3385,0.006457249574126745
179.0,74.1622309586631,0.25837769041336905,79,276,355,0.0006772004723234843
379.0,68.64244684234092,0.31357553157659096,51,226,277,0.000528407129108747
223.0,75.6317122778972,0.2436828772210281,139,502,641,0.001222776064110855
361.0,82.02532993225509,0.17974670067744916,332,1375,1707,0.0032562850880455993
381.0,79.26025048212523,0.2073974951787477,464,2188,2652,0.005058973669301072
479.0,75.47180620366774,0.2452819379633226,733,3170,3903,0.007445389981629745
219.0,62.64792401365465,0.37352075986345346,43,215,258,0.0004921625967872084
477.0,74.83905170383287,0.2516094829616714,79,413,492,0.0009385426264314206
75.0,65.05527987689426,0.34944720123105744,32,94,126,0.00024035847750072966
149.0,69.74026914966835,0.3025973085033164,72,277,349,0.0006657548305377353
349.0,76.92235082023873,0.2307764917976127,177,715,892,0.0017015854121480228
15.0,74.2859699541246,0.25714030045875397,103,434,537,0.0010243849398245382
465.0,68.55343800930216,0.3144656199069784,86,374,460,0.0008774992035740924
455.0,73.58850946334533,0.2641149053665467,63,348,411,0.0007840264623238086
181.0,83.65055109112525,0.1634944890887475,1061,4279,5340,0.010186621189316639
251.0,85.61854343420796,0.14381456565792036,656,2820,3476,0.006630841807877272
265.0,78.47707927739717,0.21522920722602837,224,870,1094,0.0020869220189349068
331.0,80.91449472286465,0.19085505277135348,147,726,873,0.001665340879826484
499.0,74.55008837838845,0.25449911621611543,173,789,962,0.001835117899648428
489.0,70.53082635983097,0.2946917364016904,81,395,476,0.0009080209150027564
467.0,80.40763386177599,0.19592366138224018,297,1192,1489,0.0028404267698300513
321.0,75.9795243809672,0.24020475619032797,118,504,622,0.0011865315317893164
263.0,53.731351161395814,0.46268648838604187,19,125,144,0.0002746954028579768
183.0,80.8479051858252,0.191520948141748,586,2510,3096,0.0059059511614465
357.0,48.29203861300908,0.5170796138699092,10,67,77,0.0001468857362504459
163.0,66.46190435433708,0.3353809564566293,48,199,247,0.0004711789201800018
73.0,82.36086833525047,0.17639131664749527,189,834,1023,0.00195148192447021
363.0,71.00159604809015,0.28998403951909846,149,522,671,0.0012800042730396
335.0,62.61774583819057,0.37382254161809425,17,62,79,0.0001507009501790289
239.0,69.35642157193396,0.30643578428066043,60,245,305,0.0005818201241089091
493.0,80.57076598559844,0.19429234014401547,171,738,909,0.0017340147305409783
231.0,78.571872147467,0.21428127852532997,340,1598,1938,0.0036969422967969372
227.0,65.33358130720829,0.3466641869279171,81,351,432,0.0008240862085739303
377.0,65.29639536217627,0.3470360463782373,31,59,90,0.00017168462678623548
399.0,64.43869054858878,0.35561309451411216,31,163,194,0.000370075751072552
257.0,83.45545261863366,0.16544547381366348,486,2005,2491,0.00475184894805014
71.0,70.12612549550434,0.2987387450449565,54,210,264,0.0005036082385729574
35.0,72.8269844926533,0.271730155073467,87,358,445,0.0008488850991097198
203.0,77.90246540853818,0.22097534591461823,296,1318,1614,0.0030788776403664893
213.0,81.96186115036458,0.18038138849635418,324,1356,1680,0.0032047797000097286
221.0,81.34155486752948,0.1865844513247052,281,1095,1376,0.0026248671828651114
395.0,72.331557035884,0.2766844296411599,102,304,406,0.0007744884275023512
259.0,77.56504252207989,0.224349574779201,127,595,722,0.0013772922282184667
91.0,83.12353235319247,0.1687646764680752,321,1282,1603,0.0030578939637592828
279.0,60.22861258288437,0.39771387417115633,22,133,155,0.0002956790794651833
123.0,67.50899216183434,0.32491007838165653,84,339,423,0.0008069177458953068
5.0,78.0800350258022,0.21919964974197792,357,1437,1794,0.0034222468939389605
53.0,75.9067469386709,0.2409325306132909,201,845,1046,0.0019953568846489147
463.0,75.68501311653996,0.24314986883460046,37,198,235,0.0004482876366085037
193.0,67.6608909524541,0.323391090475459,63,216,279,0.0005322223430373299
143.0,73.15914042818328,0.2684085957181673,78,381,459,0.000875591596609801
397.0,81.66359565975564,0.18336404340244364,332,1240,1572,0.0029987581478662464
185.0,74.15253302087646,0.25847466979123535,120,564,684,0.0013048031635753896
13.0,69.96300555781737,0.3003699444218263,73,279,352,0.0006714776514306098
131.0,61.944907403470985,0.3805509259652902,35,173,208,0.0003967822485726331
115.0,67.4302819012072,0.3256971809879281,35,127,162,0.00030903232821522387
307.0,65.19217430620282,0.34807825693797184,35,138,173,0.0003300160048224304
165.0,68.13319833260476,0.31866801667395234,28,118,146,0.00027851061678655975
507.0,54.800350223945415,0.45199649776054585,24,97,121,0.00023082044267927213
391.0,67.41998983369211,0.3258001016630788,25,112,137,0.00026134215410793623
145.0,69.47211595749978,0.3052788404250022,75,351,426,0.0008126405667881813
9.0,78.09004137348599,0.21909958626514014,118,433,551,0.0010510914373246193
241.0,73.80521453751108,0.2619478546248892,124,515,639,0.0012189608501822719
171.0,70.70002398784044,0.2929997601215956,75,315,390,0.0007439667160736871
487.0,73.98834916364055,0.26011650836359457,70,264,334,0.0006371407260733628
25.0,71.07272234493125,0.28927277655068745,72,336,408,0.0007783036414309341
353.0,72.43656097604418,0.2756343902395582,62,256,318,0.0006066190146446986
55.0,77.70022404539996,0.22299775954600037,163,678,841,0.0016042974569691558
207.0,41.81428664635213,0.5818571335364787,11,66,77,0.0001468857362504459
59.0,70.377137234457,0.29622862765543007,47,249,296,0.0005646516614302855
147.0,77.93254530936763,0.22067454690632368,154,725,879,0.001676786521612233
383.0,54.52213790006856,0.45477862099931443,11,35,46,8.774992035740924e-05
199.0,77.98875530250892,0.22011244697491084,201,847,1048,0.0019991720985774973
237.0,52.13603389968223,0.4786396610031777,25,80,105,0.00020029873125060804
253.0,76.39306914013918,0.23606930859860834,127,571,698,0.0013315096610754707
323.0,71.88386087850539,0.2811613912149461,131,597,728,0.0013887378700042157
177.0,65.9557089905324,0.34044291009467603,79,254,333,0.0006352331191090713
341.0,65.55939394824377,0.34440606051756223,39,154,193,0.0003681681441082605
473.0,69.10805629840875,0.30891943701591257,48,247,295,0.000562744054465994
175.0,58.08656742042931,0.41913432579570686,40,96,136,0.0002594345471436447
19.0,76.82013187490546,0.23179868125094538,106,364,470,0.0008965752732170074
233.0,71.17037145554077,0.28829628544459235,68,292,360,0.0006867385071449419
503.0,72.30627884130446,0.2769372115869554,61,327,388,0.000740151502145104
371.0,60.85132114736158,0.3914867885263842,41,126,167,0.0003185703630366814
129.0,61.720915071207784,0.38279084928792223,20,68,88,0.00016786941285765246
97.0,70.17723637373973,0.2982276362626026,38,134,172,0.00032810839785813893
333.0,69.80045272299633,0.30199547277003674,95,427,522,0.0009957708353601658
79.0,32.131009947724564,0.6786899005227544,4,21,25,4.769017410728763e-05
151.0,41.720583929270404,0.582794160707296,12,38,50,9.538034821457526e-05
117.0,65.18541501650562,0.34814584983494395,43,193,236,0.00045019524357279526
427.0,80.44914593893589,0.19550854061064113,247,1040,1287,0.002455090163043167
133.0,71.92786060203548,0.28072139397964524,60,238,298,0.0005684668753588685
45.0,36.68152224046221,0.633184777595378,5,16,21,4.005974625012161e-05
403.0,56.433478061002916,0.43566521938997077,23,99,122,0.00023272804964356365
247.0,62.347623373190295,0.376523766268097,21,69,90,0.00017168462678623548
87.0,47.41794824374094,0.5258205175625906,18,46,64,0.00012208684571465633
359.0,36.17660177945816,0.6382339822054184,4,19,23,4.387496017870462e-05
11.0,59.147716811649346,0.4085228318835066,9,34,43,8.202709946453473e-05
283.0,59.71217263376219,0.4028782736623781,25,60,85,0.00016214659196477795
457.0,67.12009972580513,0.3287990027419488,60,311,371,0.0007077221837521484
351.0,72.34839002057807,0.27651609979421937,40,155,195,0.00037198335803684355
475.0,62.630349074286684,0.37369650925713316,33,84,117,0.00022319001482210612
287.0,71.67530980995713,0.2832469019004288,61,239,300,0.0005722820892874516
289.0,65.6153744465665,0.3438462555343349,52,181,233,0.0004444724226799207
405.0,65.53422712122033,0.3446577287877967,30,157,187,0.00035672250232251146
49.0,66.87493935229104,0.3312506064770896,45,143,188,0.000358630109286803
337.0,74.20917287838031,0.25790827121619686,67,318,385,0.0007344286812522295
315.0,72.55903970842014,0.27440960291579847,69,265,334,0.0006371407260733628
159.0,51.84748524949634,0.48152514750503667,11,84,95,0.000181222661607693
365.0,73.76659319310339,0.2623340680689661,91,305,396,0.0007554123578594361
229.0,63.38466347627043,0.36615336523729575,16,64,80,0.00015260855714332042
31.0,64.16916050594037,0.35830839494059635,34,139,173,0.0003300160048224304
103.0,40.26703265161249,0.5973296734838751,9,21,30,5.7228208928745156e-05
57.0,74.02152686433008,0.2597847313566992,71,265,336,0.0006409559400019458
65.0,67.9718552268107,0.3202814477318929,30,96,126,0.00024035847750072966
299.0,69.4307643888887,0.30569235611111284,53,228,281,0.000536037556965913
255.0,54.681415544789445,0.4531858445521055,16,115,131,0.00024989651232218716
67.0,75.24273346770097,0.2475726653229903,118,519,637,0.0012151456362536888
313.0,59.94872283608096,0.4005127716391904,36,202,238,0.0004540104575013782
63.0,64.30631544797932,0.3569368455202069,26,133,159,0.0003033095073223493
125.0,43.29468704439425,0.5670531295560575,5,22,27,5.150538803587064e-05
495.0,58.30060069234657,0.41699399307653434,18,71,89,0.00016977701982194397
293.0,68.85511734155936,0.3114488265844065,60,385,445,0.0008488850991097198
449.0,64.50957044243101,0.35490429557568987,64,295,359,0.0006848309001806504
459.0,77.01330508981926,0.22986694910180736,119,665,784,0.0014955638600045401
23.0,36.80397023588914,0.6319602976411086,9,61,70,0.00013353248750040537
305.0,44.973554404531356,0.5502644559546864,11,53,64,0.00012208684571465633
153.0,46.604700867731154,0.5339529913226885,17,57,74,0.00014116291535757139
95.0,55.92360774887598,0.4407639225112402,17,77,94,0.0001793150546434015
127.0,50.30225424915368,0.4969774575084632,17,80,97,0.000185037875536276
51.0,61.07588860949895,0.3892411139050105,24,116,140,0.00026706497500081074
297.0,78.71767377443545,0.2128232622556455,35,192,227,0.0004330267808941717
195.0,43.17942178347543,0.5682057821652456,5,47,52,9.919556214315828e-05
77.0,66.81974933281245,0.33180250667187555,52,205,257,0.0004902549898229169
111.0,54.132451881787816,0.45867548118212187,21,98,119,0.0002270052287506891
411.0,46.14642003477136,0.5385357996522864,17,63,80,0.00015260855714332042
47.0,52.944027496215625,0.47055972503784377,30,114,144,0.0002746954028579768
119.0,62.31342482216951,0.3768657517783049,22,90,112,0.0002136519800006486
137.0,49.77637533458983,0.5022362466541017,6,18,24,4.578256714299612e-05
43.0,54.882882393959996,0.45117117606039997,22,74,96,0.0001831302685719845
3.0,71.85189008787535,0.2814810991212465,31,156,187,0.00035672250232251146
413.0,53.77963545950946,0.4622036454049055,12,30,42,8.011949250024322e-05
369.0,68.328571145499,0.3167142885450101,17,135,152,0.0002899562585723088
285.0,42.90400406805354,0.5709599593194646,22,90,112,0.0002136519800006486
295.0,42.69477038467628,0.5730522961532372,6,18,24,4.578256714299612e-05
445.0,62.47722098497142,0.3752277901502858,40,139,179,0.0003414616466081794
69.0,47.76563295835798,0.5223436704164202,10,72,82,0.00015642377107190342
501.0,54.55395972822246,0.4544604027177755,14,60,74,0.00014116291535757139
83.0,69.26820882001579,0.30731791179984214,26,104,130,0.0002479889053578957
271.0,40.22489060398725,0.5977510939601275,9,39,48,9.156513428599225e-05
387.0,72.04569750385487,0.27954302496145134,38,181,219,0.00041776592517983965
343.0,70.65079777290504,0.29349202227094956,49,145,194,0.000370075751072552
327.0,54.1452197989031,0.45854780201096895,11,39,50,9.538034821457526e-05
101.0,64.65283406510363,0.35347165934896363,6,17,23,4.387496017870462e-05
461.0,34.25389665629024,0.6574610334370976,2,24,26,4.959778107157914e-05
197.0,67.51248425456495,0.32487515745435047,11,44,55,0.00010491838303603278
81.0,61.469540101970296,0.38530459898029695,16,78,94,0.0001793150546434015
17.0,23.50152693276716,0.7649847306723284,4,19,23,4.387496017870462e-05
311.0,16.74453888423023,0.8325546111576977,1,12,13,2.479889053578957e-05
437.0,50.15572409125433,0.4984427590874567,18,95,113,0.0002155595869649401
211.0,33.76197083375434,0.6623802916624566,5,45,50,9.538034821457526e-05
173.0,28.11604371967622,0.7188395628032378,3,5,8,1.526085571433204e-05
483.0,38.056337216481886,0.6194366278351812,6,56,62,0.00011827163178607332
385.0,35.95165417731935,0.6404834582268065,4,56,60,0.00011445641785749031
417.0,61.66199461421671,0.38338005385783297,20,51,71,0.00013544009446469688
235.0,40.76033744115378,0.5923966255884622,14,32,46,8.774992035740924e-05
447.0,30.51395574508845,0.6948604425491155,4,16,20,3.8152139285830106e-05
421.0,22.60466332525678,0.7739533667474322,3,19,22,4.1967353214413115e-05
109.0,37.70122242157693,0.6229877757842307,4,36,40,7.630427857166021e-05
429.0,16.74453888423023,0.8325546111576977,1,6,7,1.3353248750040537e-05
191.0,59.243038067928126,0.4075696193207188,15,51,66,0.00012590205964323935
389.0,66.0532041020653,0.3394679589793471,18,88,106,0.00020220633821489955
317.0,52.69218432987653,0.47307815670123465,7,58,65,0.00012399445267894784
205.0,27.689248813196187,0.7231075118680381,2,14,16,3.052171142866408e-05
169.0,53.573515170695785,0.46426484829304215,3,49,52,9.919556214315828e-05
443.0,42.111489836573526,0.5788851016342648,8,16,24,4.578256714299612e-05
431.0,37.653758415507646,0.6234624158449236,3,16,19,3.62445323215386e-05
345.0,38.10256565134358,0.6189743434865642,4,30,34,6.485863678591117e-05
425.0,32.916036731112285,0.6708396326888771,8,23,31,5.913581589303666e-05
433.0,49.85760562287804,0.5014239437712196,3,13,16,3.052171142866408e-05
319.0,39.30927254655858,0.6069072745344142,5,8,13,2.479889053578957e-05
93.0,26.091073825352705,0.7390892617464729,1,12,13,2.479889053578957e-05
415.0,25.993020658974064,0.7400697934102594,3,14,17,3.2429318392955586e-05
275.0,38.429009010141726,0.6157099098985828,3,33,36,6.86738507144942e-05
155.0,50.03923070801621,0.49960769291983786,3,20,23,4.387496017870462e-05
243.0,27.105620814935538,0.7289437918506446,1,21,22,4.1967353214413115e-05
